Drug,Trade  Name,Condition ,Route of administration ,dosage
ADENOSINE,Adenocard,treatment of supraventricular tachycardia (SVT) and the conversion of certain arrhythmias.,Intravenous (IV) rapid bolus,"Initial dose of 6 mg, followed by a saline flush. If needed, a second dose of 12 mg may be given after 1-2 minutes."
ALBUTEROL,Proventil,"relief of bronchospasm in asthma, chronic obstructive pulmonary disease (COPD), and other respiratory conditions.",Inhalation (via metered-dose inhaler or nebulizer) or oral (tablet/syrup).,Common dosages range from 90 mcg to 2.5 mg for inhalation.
AMIODARONE,Cordarone,treatment of life-threatening ventricular arrhythmias and atrial fibrillation.,Intravenous (IV) or oral.,"Common dosages for ventricular arrhythmias range from 800-1600 mg per day, initially administered intravenously, followed by an oral maintenance dose."
ASPIRIN,Multiple (Bayer); Acetylsalicylic Acid [ASA],management of acute myocardial infarction (heart attack) and prevention of cardiovascular events.,Oral.,"For acute coronary syndrome, a common initial dose is 160-325 mg."
ATROPINE,Atropine,to increase heart rate in bradycardia and as an antidote for certain types of poisonings.,Intravenous (IV) or intramuscular (IM).,"For symptomatic bradycardia, an initial dose of 0.5-1 mg may be administered, which can be repeated every 3-5 minutes up to a maximum total dose."
CYANIDE ANTIDOTE KIT,Cyanide Antidote Package,Used as an emergency treatment for cyanide poisoning.,"Administration instructions are specific to each medication provided in the kit, which may include amyl nitrite, sodium nitrite, and sodium thiosulfate.",The dosages and administration protocols are specific to each medication and should be followed as provided with the kit.
DEXTROSE,"D10, Dextrose 10%, D50, Dextrose 50%",Used to treat hypoglycemia and provide a source of glucose in various emergency situations.,Intravenous (IV).,Common concentrations range from 5% to 50% solutions.
DIAZEPAM (Valium) Auto-Injector:,Valium,Used for the management of prolonged or recurrent seizures (status epilepticus) and acute anxiety or agitation.,Intramuscular (IM).,The specific dosing instructions and administration protocol should be followed as provided with the auto-injector.
DIPHENHYDRAMINE,Benadryl,"treatment of allergic reactions, including anaphylaxis and mild to moderate allergic symptoms.","Oral, intravenous (IV), or intramuscular (IM).",Common dosages range from 25 mg to 50 mg.
FENTANYL,Sublimaze,"Used for the management of acute pain, chronic pain, and as an adjunct to anesthesia.","Intravenous (IV), transdermal (patch), intranasal, or transmucosal (lozenge).","For analgesia, IV doses range from 25 to 100 mcg."
HEPARIN,,"Used for the prevention and treatment of blood clots, including DVT and pulmonary embolism.",Intravenous (IV) or subcutaneous (SC).,"For deep vein thrombosis (DVT) prophylaxis, SC doses range from 5000 to 10,000 units every 8 to 12 hours."
IPRATROPIUM,Atrovent,"Used for the management of bronchospasm in asthma, COPD, and other respiratory conditions.",Inhalation (via metered-dose inhaler or nebulizer).,"For bronchospasm, a common dosage is 2 inhalations (36-42 mcg) every 6 to 8 hours."
KETAMINE,,"Used for induction and maintenance of anesthesia, analgesia, and sedation.","Intravenous (IV), intramuscular (IM), or intranasal.","For general anesthesia, IV induction doses range from 1 to 4.5 mg/kg."
LIDOCAINE,,Used for the management of ventricular arrhythmias and local anesthesia.,Intravenous (IV) or topical.,"For ventricular arrhythmias, an IV loading dose of 1 to 1.5 mg/kg may be followed by an infusion."
METHYLPREDNISOLONE,Solu-Medrol,"inflammatory and allergic conditions, such as asthma, severe allergic reactions, and autoimmune disorders.",Intravenous (IV) or oral.,Common dosages range from 1 mg/kg to 500 mg IV or oral.
METOPROLOL,Lopressor,"Used for the management of hypertension, angina pectoris, and heart failure.",Oral or intravenous (IV).,"For hypertension, a common initial oral dose is 25-100 mg once or twice daily."
MORPHINE,"Duramorph, Astromorph",Used for the management of acute and chronic pain.,"Intravenous (IV), intramuscular (IM), or oral.","For moderate to severe pain, IV doses range from 2 to 10 mg."
OXYGEN,,"Used for the management of hypoxemia (low oxygen levels), respiratory distress","Inhalation (via oxygen mask, nasal cannula, or other oxygen delivery systems).",It is typically administered at flow rates ranging from 1 to 15 liters per minute.
TETRACAINE,,"Used for local anesthesia of the eye, such as during ophthalmic procedures or for relief of eye pain or irritation.",Topical (ophthalmic drops or gel).,"For ophthalmic use, a common dosage is 1-2 drops applied to the affected eye(s) as needed."
TRANEXAMIC ACID (TXA),TXA,"Used for the treatment and prevention of excessive bleeding, such as in cases of trauma, surgery, or heavy menstrual bleeding.",Intravenous (IV) or oral.,"For intravenous use, common doses range from 1 to 2 grams."
NITROUS OXIDE,Nitronox,"To relieve pain of musculoskeletal origin (i.e. fractures); burns; suspected ischemic chest pain, and severe states of anxiety including hyperventilation.",Inhalation (gas mixture),commonly range from 30% to 70%.
ONDANSETRON,Zofran,Prevention of nausea and vomiting,ORAL,Adult – 4 mg Slow IV push over 2-5 minutes or 4mg IM (Paramedics Only)  Adult – 4 mg PO oral disintegrating tablet